Number of viewing zenith angles
           2
Number of wavelengths
           3
Wavelengths
      441.000      675.000      870.200
Solar zenith angle
       43.571833
          VZA           AZ           I           P
      55.0000      178.784    0.0290798     0.630425
      60.0000      178.694    0.0329062     0.586652
      55.0000      178.784   0.00650515     0.679421
      60.0000      178.694   0.00748154     0.642464
      55.0000      178.784   0.00436800     0.468235
      60.0000      178.694   0.00506262     0.441904
